state,year,sex,age,ethnicity,population,
Melaka,2022,Male,65-69,Chinese,5,
Pulau Pinang,2022,Male,70-74,Bumi (Malay),5,
Sabah,2022,Female,65-69,Bumi (Malay),5,
Selangor,2022,Female,75-79,Indian,5,
Johor,2022,Male,65-69,Other (Non-Citizen),5,
Sarawak,2022,Female,80-84,Bumi (Other),5,
Kuala Lumpur,2022,Male,75-79,Chinese,5,
Negeri Sembilan,2022,Female,70-74,Chinese,4,
Melaka,2022,Female,0-4,Bumi (Malay),28,
Melaka,2022,Female,0-4,Bumi (Other),1,
Melaka,2022,Female,0-4,Chinese,6,
Melaka,2022,Female,0-4,Indian,2,
Melaka,2022,Female,0-4,Other (Citizen),0,
Melaka,2022,Female,0-4,Other (Non-Citizen),0,
Melaka,2022,Female,15-19,Bumi (Malay),33,
Melaka,2022,Female,15-19,Bumi (Other),0,
Melaka,2022,Female,15-19,Chinese,8,
Melaka,2022,Female,15-19,Indian,3,
Melaka,2022,Female,15-19,Other (Citizen),0,
Melaka,2022,Female,15-19,Other (Non-Citizen),0,
Melaka,2022,Female,20-24,Bumi (Malay),32,
Melaka,2022,Female,20-24,Bumi (Other),0,
Melaka,2022,Female,20-24,Chinese,6,
Melaka,2022,Female,20-24,Indian,2,
Melaka,2022,Female,20-24,Other (Citizen),0,
Melaka,2022,Female,20-24,Other (Non-Citizen),2,
Melaka,2022,Female,25-29,Bumi (Malay),30,
Melaka,2022,Female,25-29,Bumi (Other),1,
Melaka,2022,Female,25-29,Chinese,7,
Melaka,2022,Female,25-29,Indian,2,
Melaka,2022,Female,25-29,Other (Citizen),0,
Melaka,2022,Female,25-29,Other (Non-Citizen),2,
Melaka,2022,Female,30-34,Bumi (Malay),25,
Melaka,2022,Female,30-34,Bumi (Other),1,
Melaka,2022,Female,30-34,Chinese,8,
Melaka,2022,Female,30-34,Indian,2,
Melaka,2022,Female,30-34,Other (Citizen),0,
Melaka,2022,Female,30-34,Other (Non-Citizen),6,
Melaka,2022,Female,35-39,Bumi (Malay),24,
Melaka,2022,Female,35-39,Bumi (Other),1,
Melaka,2022,Female,35-39,Chinese,7,
Melaka,2022,Female,35-39,Indian,2,
Melaka,2022,Female,35-39,Other (Citizen),0,
Melaka,2022,Female,35-39,Other (Non-Citizen),2,
Melaka,2022,Female,40-44,Bumi (Malay),22,
Melaka,2022,Female,40-44,Bumi (Other),0,
Melaka,2022,Female,40-44,Chinese,8,
Melaka,2022,Female,40-44,Indian,2,
Melaka,2022,Female,40-44,Other (Citizen),0,
Melaka,2022,Female,40-44,Other (Non-Citizen),1,
Melaka,2022,Female,45-49,Bumi (Malay),22,
Melaka,2022,Female,45-49,Bumi (Other),0,
Melaka,2022,Female,45-49,Chinese,8,
Melaka,2022,Female,45-49,Indian,2,
Melaka,2022,Female,45-49,Other (Citizen),0,
Melaka,2022,Female,45-49,Other (Non-Citizen),1,
Melaka,2022,Female,50-54,Bumi (Malay),13,
Melaka,2022,Female,50-54,Bumi (Other),0,
Melaka,2022,Female,50-54,Chinese,6,
Melaka,2022,Female,50-54,Indian,1,
Melaka,2022,Female,50-54,Other (Citizen),0,
Melaka,2022,Female,50-54,Other (Non-Citizen),0,
Melaka,2022,Female,55-59,Bumi (Malay),13,
Melaka,2022,Female,55-59,Bumi (Other),0,
Melaka,2022,Female,55-59,Chinese,6,
Melaka,2022,Female,55-59,Indian,1,
Melaka,2022,Female,55-59,Other (Citizen),0,
Melaka,2022,Female,55-59,Other (Non-Citizen),0,
Melaka,2022,Female,60-64,Bumi (Malay),12,
Melaka,2022,Female,60-64,Bumi (Other),0,
Melaka,2022,Female,60-64,Chinese,6,
Melaka,2022,Female,60-64,Indian,1,
Melaka,2022,Female,60-64,Other (Citizen),0,
Melaka,2022,Female,60-64,Other (Non-Citizen),0,
Negeri Sembilan,2022,Male,70-74,Chinese,4,
Perak,2022,Female,70-74,Indian,4,
Sabah,2022,Male,65-69,Chinese,4,
Kedah,2022,Male,85 and above,Bumi (Malay),4,
Perlis,2022,Female,65-69,Bumi (Malay),4,
Perak,2022,Female,85 and above,Chinese,4,
Johor,2022,Female,65-69,Indian,4,
Selangor,2022,Male,70-74,Other (Non-Citizen),4,
Johor,2022,Female,80-84,Chinese,4,
Pulau Pinang,2022,Female,80-84,Chinese,4,
Sabah,2022,Female,70-74,Other (Non-Citizen),4,
Sarawak,2022,Female,80-84,Chinese,4,
Selangor,2022,Male,75-79,Indian,4,
Johor,2022,Male,80-84,Chinese,4,
Melaka,2022,Female,70-74,Chinese,4,
Pahang,2022,Female,80-84,Bumi (Malay),4,
Sabah,2022,Female,65-69,Chinese,4,
Sabah,2022,Female,85 and above,Bumi (Other),4,
Melaka,2022,Male,70-74,Chinese,4,
Selangor,2022,Male,85 and above,Other (Non-Citizen),4,
Melaka,2022,Male,0-4,Bumi (Malay),30,
Melaka,2022,Male,0-4,Bumi (Other),1,
Melaka,2022,Male,0-4,Chinese,6,
Melaka,2022,Male,0-4,Indian,2,
Melaka,2022,Male,0-4,Other (Citizen),0,
Melaka,2022,Male,0-4,Other (Non-Citizen),0,
Melaka,2022,Male,15-19,Bumi (Malay),37,
Melaka,2022,Male,15-19,Bumi (Other),0,
Melaka,2022,Male,15-19,Chinese,9,
Melaka,2022,Male,15-19,Indian,3,
Melaka,2022,Male,15-19,Other (Citizen),0,
Melaka,2022,Male,15-19,Other (Non-Citizen),0,
Melaka,2022,Male,20-24,Bumi (Malay),36,
Melaka,2022,Male,20-24,Bumi (Other),1,
Melaka,2022,Male,20-24,Chinese,7,
Melaka,2022,Male,20-24,Indian,2,
Melaka,2022,Male,20-24,Other (Citizen),0,
Melaka,2022,Male,20-24,Other (Non-Citizen),4,
Melaka,2022,Male,25-29,Bumi (Malay),27,
Melaka,2022,Male,25-29,Bumi (Other),1,
Melaka,2022,Male,25-29,Chinese,7,
Melaka,2022,Male,25-29,Indian,2,
Melaka,2022,Male,25-29,Other (Citizen),0,
Melaka,2022,Male,25-29,Other (Non-Citizen),8,
Melaka,2022,Male,30-34,Bumi (Malay),26,
Melaka,2022,Male,30-34,Bumi (Other),1,
Melaka,2022,Male,30-34,Chinese,8,
Melaka,2022,Male,30-34,Indian,2,
Melaka,2022,Male,30-34,Other (Citizen),0,
Melaka,2022,Male,30-34,Other (Non-Citizen),26,
Melaka,2022,Male,35-39,Bumi (Malay),25,
Melaka,2022,Male,35-39,Bumi (Other),1,
Melaka,2022,Male,35-39,Chinese,6,
Melaka,2022,Male,35-39,Indian,2,
Melaka,2022,Male,35-39,Other (Citizen),0,
Melaka,2022,Male,35-39,Other (Non-Citizen),6,
Melaka,2022,Male,40-44,Bumi (Malay),29,
Melaka,2022,Male,40-44,Bumi (Other),0,
Melaka,2022,Male,40-44,Chinese,10,
Melaka,2022,Male,40-44,Indian,3,
Melaka,2022,Male,40-44,Other (Citizen),0,
Melaka,2022,Male,40-44,Other (Non-Citizen),4,
Melaka,2022,Male,45-49,Bumi (Malay),14,
Melaka,2022,Male,45-49,Bumi (Other),0,
Melaka,2022,Male,45-49,Chinese,6,
Melaka,2022,Male,45-49,Indian,1,
Melaka,2022,Male,45-49,Other (Citizen),0,
Melaka,2022,Male,45-49,Other (Non-Citizen),2,
Melaka,2022,Male,50-54,Bumi (Malay),12,
Melaka,2022,Male,50-54,Bumi (Other),0,
Melaka,2022,Male,50-54,Chinese,6,
Melaka,2022,Male,50-54,Indian,1,
Melaka,2022,Male,50-54,Other (Citizen),0,
Melaka,2022,Male,50-54,Other (Non-Citizen),1,
Melaka,2022,Male,55-59,Bumi (Malay),12,
Melaka,2022,Male,55-59,Bumi (Other),0,
Melaka,2022,Male,55-59,Chinese,6,
Melaka,2022,Male,55-59,Indian,1,
Melaka,2022,Male,55-59,Other (Citizen),0,
Melaka,2022,Male,55-59,Other (Non-Citizen),1,
Melaka,2022,Male,60-64,Bumi (Malay),11,
Melaka,2022,Male,60-64,Bumi (Other),0,
Melaka,2022,Male,60-64,Chinese,6,
Melaka,2022,Male,60-64,Indian,1,
Melaka,2022,Male,60-64,Other (Citizen),0,
Melaka,2022,Male,60-64,Other (Non-Citizen),0,
Johor,2022,Female,65-69,Other (Non-Citizen),4,
Sabah,2022,Female,70-74,Bumi (Malay),4,
Selangor,2022,Female,70-74,Other (Non-Citizen),4,
Sarawak,2022,Male,80-84,Bumi (Other),4,
Kelantan,2022,Male,80-84,Bumi (Malay),3,
Perak,2022,Male,70-74,Indian,3,
Perlis,2022,Male,65-69,Bumi (Malay),3,
Pahang,2022,Male,65-69,Chinese,3,
Pahang,2022,Male,80-84,Bumi (Malay),3,
Sabah,2022,Male,65-69,Bumi (Malay),3,
Sarawak,2022,Male,80-84,Chinese,3,
Kelantan,2022,Female,85 and above,Bumi (Malay),3,
Perak,2022,Male,80-84,Bumi (Malay),3,
Pulau Pinang,2022,Female,65-69,Indian,3,
Johor,2022,Male,65-69,Indian,3,
Pahang,2022,Male,85 and above,Bumi (Malay),3,
Perlis,2022,Female,70-74,Bumi (Malay),3,
Sarawak,2022,Female,75-79,Bumi (Malay),3,
Negeri Sembilan,2022,Female,0-4,Bumi (Malay),29,
Negeri Sembilan,2022,Female,0-4,Bumi (Other),1,
Negeri Sembilan,2022,Female,0-4,Chinese,6,
Negeri Sembilan,2022,Female,0-4,Indian,5,
Negeri Sembilan,2022,Female,0-4,Other (Citizen),0,
Negeri Sembilan,2022,Female,0-4,Other (Non-Citizen),1,
Negeri Sembilan,2022,Female,15-19,Bumi (Malay),28,
Negeri Sembilan,2022,Female,15-19,Bumi (Other),1,
Negeri Sembilan,2022,Female,15-19,Chinese,9,
Negeri Sembilan,2022,Female,15-19,Indian,6,
Negeri Sembilan,2022,Female,15-19,Other (Citizen),0,
Negeri Sembilan,2022,Female,15-19,Other (Non-Citizen),0,
Negeri Sembilan,2022,Female,20-24,Bumi (Malay),34,
Negeri Sembilan,2022,Female,20-24,Bumi (Other),1,
Negeri Sembilan,2022,Female,20-24,Chinese,8,
Negeri Sembilan,2022,Female,20-24,Indian,6,
Negeri Sembilan,2022,Female,20-24,Other (Citizen),0,
Negeri Sembilan,2022,Female,20-24,Other (Non-Citizen),3,
Negeri Sembilan,2022,Female,25-29,Bumi (Malay),27,
Negeri Sembilan,2022,Female,25-29,Bumi (Other),1,
Negeri Sembilan,2022,Female,25-29,Chinese,7,
Negeri Sembilan,2022,Female,25-29,Indian,6,
Negeri Sembilan,2022,Female,25-29,Other (Citizen),0,
Negeri Sembilan,2022,Female,25-29,Other (Non-Citizen),3,
Negeri Sembilan,2022,Female,30-34,Bumi (Malay),30,
Negeri Sembilan,2022,Female,30-34,Bumi (Other),1,
Negeri Sembilan,2022,Female,30-34,Chinese,9,
Negeri Sembilan,2022,Female,30-34,Indian,7,
Negeri Sembilan,2022,Female,30-34,Other (Citizen),0,
Negeri Sembilan,2022,Female,30-34,Other (Non-Citizen),2,
Negeri Sembilan,2022,Female,35-39,Bumi (Malay),30,
Negeri Sembilan,2022,Female,35-39,Bumi (Other),1,
Negeri Sembilan,2022,Female,35-39,Chinese,9,
Negeri Sembilan,2022,Female,35-39,Indian,7,
Negeri Sembilan,2022,Female,35-39,Other (Citizen),0,
Negeri Sembilan,2022,Female,35-39,Other (Non-Citizen),2,
Negeri Sembilan,2022,Female,40-44,Bumi (Malay),23,
Negeri Sembilan,2022,Female,40-44,Bumi (Other),1,
Negeri Sembilan,2022,Female,40-44,Chinese,8,
Negeri Sembilan,2022,Female,40-44,Indian,6,
Negeri Sembilan,2022,Female,40-44,Other (Citizen),0,
Negeri Sembilan,2022,Female,40-44,Other (Non-Citizen),1,
Negeri Sembilan,2022,Female,45-49,Bumi (Malay),18,
Negeri Sembilan,2022,Female,45-49,Bumi (Other),1,
Negeri Sembilan,2022,Female,45-49,Chinese,8,
Negeri Sembilan,2022,Female,45-49,Indian,5,
Negeri Sembilan,2022,Female,45-49,Other (Citizen),0,
Negeri Sembilan,2022,Female,45-49,Other (Non-Citizen),1,
Negeri Sembilan,2022,Female,50-54,Bumi (Malay),16,
Negeri Sembilan,2022,Female,50-54,Bumi (Other),0,
Negeri Sembilan,2022,Female,50-54,Chinese,7,
Negeri Sembilan,2022,Female,50-54,Indian,4,
Negeri Sembilan,2022,Female,50-54,Other (Citizen),0,
Negeri Sembilan,2022,Female,50-54,Other (Non-Citizen),0,
Negeri Sembilan,2022,Female,55-59,Bumi (Malay),17,
Negeri Sembilan,2022,Female,55-59,Bumi (Other),0,
Negeri Sembilan,2022,Female,55-59,Chinese,8,
Negeri Sembilan,2022,Female,55-59,Indian,4,
Negeri Sembilan,2022,Female,55-59,Other (Citizen),0,
Negeri Sembilan,2022,Female,55-59,Other (Non-Citizen),0,
Negeri Sembilan,2022,Female,60-64,Bumi (Malay),15,
Negeri Sembilan,2022,Female,60-64,Bumi (Other),0,
Negeri Sembilan,2022,Female,60-64,Chinese,7,
Negeri Sembilan,2022,Female,60-64,Indian,4,
Negeri Sembilan,2022,Female,60-64,Other (Citizen),0,
Negeri Sembilan,2022,Female,60-64,Other (Non-Citizen),0,
Selangor,2022,Male,85 and above,Chinese,3,
Johor,2022,Male,70-74,Other (Non-Citizen),3,
Kedah,2022,Female,70-74,Chinese,3,
Kedah,2022,Male,70-74,Chinese,3,
Negeri Sembilan,2022,Female,75-79,Bumi (Malay),3,
Pahang,2022,Female,65-69,Chinese,3,
Terengganu,2022,Female,80-84,Bumi (Malay),3,
Kuala Lumpur,2022,Male,80-84,Bumi (Malay),3,
Pulau Pinang,2022,Male,80-84,Chinese,3,
Kuala Lumpur,2022,Female,80-84,Bumi (Malay),3,
Melaka,2022,Female,75-79,Bumi (Malay),3,
Negeri Sembilan,2022,Female,65-69,Indian,3,
Pahang,2022,Female,85 and above,Bumi (Malay),3,
Sarawak,2022,Female,85 and above,Bumi (Other),3,
Kuala Lumpur,2022,Male,85 and above,Bumi (Malay),3,
Johor,2022,Male,85 and above,Chinese,3,
Kedah,2022,Female,65-69,Indian,3,
Negeri Sembilan,2022,Male,75-79,Bumi (Malay),3,
Perak,2022,Male,85 and above,Chinese,3,
Pulau Pinang,2022,Male,65-69,Indian,3,
Sarawak,2022,Male,75-79,Bumi (Malay),3,
Perak,2022,Female,85 and above,Bumi (Malay),3,
Perlis,2022,Male,70-74,Bumi (Malay),3,
Kuala Lumpur,2022,Female,80-84,Chinese,3,
Negeri Sembilan,2022,Male,0-4,Bumi (Malay),29,
Negeri Sembilan,2022,Male,0-4,Bumi (Other),1,
Negeri Sembilan,2022,Male,0-4,Chinese,5,
Negeri Sembilan,2022,Male,0-4,Indian,4,
Negeri Sembilan,2022,Male,0-4,Other (Citizen),0,
Negeri Sembilan,2022,Male,0-4,Other (Non-Citizen),0,
Negeri Sembilan,2022,Male,15-19,Bumi (Malay),32,
Negeri Sembilan,2022,Male,15-19,Bumi (Other),1,
Negeri Sembilan,2022,Male,15-19,Chinese,11,
Negeri Sembilan,2022,Male,15-19,Indian,8,
Negeri Sembilan,2022,Male,15-19,Other (Citizen),0,
Negeri Sembilan,2022,Male,15-19,Other (Non-Citizen),0,
Negeri Sembilan,2022,Male,20-24,Bumi (Malay),32,
Negeri Sembilan,2022,Male,20-24,Bumi (Other),1,
Negeri Sembilan,2022,Male,20-24,Chinese,8,
Negeri Sembilan,2022,Male,20-24,Indian,7,
Negeri Sembilan,2022,Male,20-24,Other (Citizen),0,
Negeri Sembilan,2022,Male,20-24,Other (Non-Citizen),6,
Negeri Sembilan,2022,Male,25-29,Bumi (Malay),27,
Negeri Sembilan,2022,Male,25-29,Bumi (Other),1,
Negeri Sembilan,2022,Male,25-29,Chinese,8,
Negeri Sembilan,2022,Male,25-29,Indian,6,
Negeri Sembilan,2022,Male,25-29,Other (Citizen),1,
Negeri Sembilan,2022,Male,25-29,Other (Non-Citizen),8,
Negeri Sembilan,2022,Male,30-34,Bumi (Malay),31,
Negeri Sembilan,2022,Male,30-34,Bumi (Other),1,
Negeri Sembilan,2022,Male,30-34,Chinese,9,
Negeri Sembilan,2022,Male,30-34,Indian,7,
Negeri Sembilan,2022,Male,30-34,Other (Citizen),1,
Negeri Sembilan,2022,Male,30-34,Other (Non-Citizen),11,
Negeri Sembilan,2022,Male,35-39,Bumi (Malay),30,
Negeri Sembilan,2022,Male,35-39,Bumi (Other),1,
Negeri Sembilan,2022,Male,35-39,Chinese,10,
Negeri Sembilan,2022,Male,35-39,Indian,7,
Negeri Sembilan,2022,Male,35-39,Other (Citizen),1,
Negeri Sembilan,2022,Male,35-39,Other (Non-Citizen),8,
Negeri Sembilan,2022,Male,40-44,Bumi (Malay),24,
Negeri Sembilan,2022,Male,40-44,Bumi (Other),1,
Negeri Sembilan,2022,Male,40-44,Chinese,10,
Negeri Sembilan,2022,Male,40-44,Indian,6,
Negeri Sembilan,2022,Male,40-44,Other (Citizen),0,
Negeri Sembilan,2022,Male,40-44,Other (Non-Citizen),4,
Negeri Sembilan,2022,Male,45-49,Bumi (Malay),18,
Negeri Sembilan,2022,Male,45-49,Bumi (Other),1,
Negeri Sembilan,2022,Male,45-49,Chinese,7,
Negeri Sembilan,2022,Male,45-49,Indian,5,
Negeri Sembilan,2022,Male,45-49,Other (Citizen),0,
Negeri Sembilan,2022,Male,45-49,Other (Non-Citizen),2,
Negeri Sembilan,2022,Male,50-54,Bumi (Malay),15,
Negeri Sembilan,2022,Male,50-54,Bumi (Other),1,
Negeri Sembilan,2022,Male,50-54,Chinese,7,
Negeri Sembilan,2022,Male,50-54,Indian,4,
Negeri Sembilan,2022,Male,50-54,Other (Citizen),0,
Negeri Sembilan,2022,Male,50-54,Other (Non-Citizen),1,
Negeri Sembilan,2022,Male,55-59,Bumi (Malay),15,
Negeri Sembilan,2022,Male,55-59,Bumi (Other),0,
Negeri Sembilan,2022,Male,55-59,Chinese,7,
Negeri Sembilan,2022,Male,55-59,Indian,4,
Negeri Sembilan,2022,Male,55-59,Other (Citizen),0,
Negeri Sembilan,2022,Male,55-59,Other (Non-Citizen),1,
Negeri Sembilan,2022,Male,60-64,Bumi (Malay),14,
Negeri Sembilan,2022,Male,60-64,Bumi (Other),0,
Negeri Sembilan,2022,Male,60-64,Chinese,8,
Negeri Sembilan,2022,Male,60-64,Indian,4,
Negeri Sembilan,2022,Male,60-64,Other (Citizen),0,
Negeri Sembilan,2022,Male,60-64,Other (Non-Citizen),1,
Johor,2022,Female,70-74,Indian,2,
Negeri Sembilan,2022,Female,75-79,Chinese,2,
Negeri Sembilan,2022,Male,65-69,Indian,2,
Negeri Sembilan,2022,Male,75-79,Chinese,2,
Pahang,2022,Female,70-74,Chinese,2,
Sabah,2022,Female,85 and above,Other (Non-Citizen),2,
Sabah,2022,Male,75-79,Other (Non-Citizen),2,
Johor,2022,Male,85 and above,Other (Non-Citizen),2,
Melaka,2022,Male,75-79,Bumi (Malay),2,
Sarawak,2022,Female,85 and above,Chinese,2,
Selangor,2022,Male,75-79,Other (Non-Citizen),2,
Selangor,2022,Male,80-84,Other (Non-Citizen),2,
Kuala Lumpur,2022,Female,65-69,Indian,2,
Johor,2022,Female,70-74,Other (Non-Citizen),2,
Pahang,2022,Male,70-74,Chinese,2,
Perak,2022,Female,75-79,Indian,2,
Sabah,2022,Female,70-74,Chinese,2,
Sabah,2022,Female,75-79,Bumi (Malay),2,
Sabah,2022,Male,70-74,Chinese,2,
Kuala Lumpur,2022,Male,65-69,Indian,2,
Kuala Lumpur,2022,Male,80-84,Chinese,2,
Kedah,2022,Male,65-69,Indian,2,
Melaka,2022,Female,75-79,Chinese,2,
Pahang,2022,Female,0-4,Bumi (Malay),51,
Pahang,2022,Female,0-4,Bumi (Other),5,
Pahang,2022,Female,0-4,Chinese,5,
Pahang,2022,Female,0-4,Indian,2,
Pahang,2022,Female,0-4,Other (Citizen),0,
Pahang,2022,Female,0-4,Other (Non-Citizen),0,
Pahang,2022,Female,15-19,Bumi (Malay),56,
Pahang,2022,Female,15-19,Bumi (Other),5,
Pahang,2022,Female,15-19,Chinese,13,
Pahang,2022,Female,15-19,Indian,3,
Pahang,2022,Female,15-19,Other (Citizen),0,
Pahang,2022,Female,15-19,Other (Non-Citizen),0,
Pahang,2022,Female,20-24,Bumi (Malay),47,
Pahang,2022,Female,20-24,Bumi (Other),5,
Pahang,2022,Female,20-24,Chinese,7,
Pahang,2022,Female,20-24,Indian,2,
Pahang,2022,Female,20-24,Other (Citizen),0,
Pahang,2022,Female,20-24,Other (Non-Citizen),0,
Pahang,2022,Female,25-29,Bumi (Malay),38,
Pahang,2022,Female,25-29,Bumi (Other),4,
Pahang,2022,Female,25-29,Chinese,6,
Pahang,2022,Female,25-29,Indian,2,
Pahang,2022,Female,25-29,Other (Citizen),0,
Pahang,2022,Female,25-29,Other (Non-Citizen),1,
Pahang,2022,Female,30-34,Bumi (Malay),42,
Pahang,2022,Female,30-34,Bumi (Other),4,
Pahang,2022,Female,30-34,Chinese,7,
Pahang,2022,Female,30-34,Indian,2,
Pahang,2022,Female,30-34,Other (Citizen),0,
Pahang,2022,Female,30-34,Other (Non-Citizen),1,
Pahang,2022,Female,35-39,Bumi (Malay),46,
Pahang,2022,Female,35-39,Bumi (Other),3,
Pahang,2022,Female,35-39,Chinese,7,
Pahang,2022,Female,35-39,Indian,2,
Pahang,2022,Female,35-39,Other (Citizen),0,
Pahang,2022,Female,35-39,Other (Non-Citizen),1,
Pahang,2022,Female,40-44,Bumi (Malay),43,
Pahang,2022,Female,40-44,Bumi (Other),3,
Pahang,2022,Female,40-44,Chinese,9,
Pahang,2022,Female,40-44,Indian,2,
Pahang,2022,Female,40-44,Other (Citizen),0,
Pahang,2022,Female,40-44,Other (Non-Citizen),2,
Pahang,2022,Female,45-49,Bumi (Malay),33,
Pahang,2022,Female,45-49,Bumi (Other),2,
Pahang,2022,Female,45-49,Chinese,8,
Pahang,2022,Female,45-49,Indian,2,
Pahang,2022,Female,45-49,Other (Citizen),0,
Pahang,2022,Female,45-49,Other (Non-Citizen),1,
Pahang,2022,Female,50-54,Bumi (Malay),26,
Pahang,2022,Female,50-54,Bumi (Other),2,
Pahang,2022,Female,50-54,Chinese,6,
Pahang,2022,Female,50-54,Indian,1,
Pahang,2022,Female,50-54,Other (Citizen),0,
Pahang,2022,Female,50-54,Other (Non-Citizen),1,
Pahang,2022,Female,55-59,Bumi (Malay),23,
Pahang,2022,Female,55-59,Bumi (Other),1,
Pahang,2022,Female,55-59,Chinese,6,
Pahang,2022,Female,55-59,Indian,1,
Pahang,2022,Female,55-59,Other (Citizen),0,
Pahang,2022,Female,55-59,Other (Non-Citizen),0,
Pahang,2022,Female,60-64,Bumi (Malay),21,
Pahang,2022,Female,60-64,Bumi (Other),1,
Pahang,2022,Female,60-64,Chinese,5,
Pahang,2022,Female,60-64,Indian,1,
Pahang,2022,Female,60-64,Other (Citizen),0,
Pahang,2022,Female,60-64,Other (Non-Citizen),0,
Negeri Sembilan,2022,Female,70-74,Indian,2,
Pulau Pinang,2022,Female,75-79,Bumi (Malay),2,
Sabah,2022,Female,75-79,Other (Non-Citizen),2,
Kedah,2022,Female,75-79,Chinese,2,
Melaka,2022,Male,75-79,Chinese,2,
Selangor,2022,Male,80-84,Indian,2,
Johor,2022,Male,70-74,Indian,2,
Kedah,2022,Male,75-79,Chinese,2,
Kelantan,2022,Male,85 and above,Bumi (Malay),2,
Sarawak,2022,Male,85 and above,Bumi (Other),2,
Selangor,2022,Female,80-84,Indian,2,
Selangor,2022,Female,85 and above,Other (Non-Citizen),2,
Terengganu,2022,Male,80-84,Bumi (Malay),2,
Kuala Lumpur,2022,Female,70-74,Indian,2,
Johor,2022,Male,80-84,Other (Non-Citizen),2,
Kedah,2022,Female,70-74,Indian,2,
Pulau Pinang,2022,Female,85 and above,Chinese,2,
Sabah,2022,Female,80-84,Other (Non-Citizen),2,
Sabah,2022,Male,70-74,Bumi (Malay),2,
Sabah,2022,Male,85 and above,Other (Non-Citizen),2,
Sarawak,2022,Female,80-84,Bumi (Malay),2,
Selangor,2022,Female,75-79,Other (Non-Citizen),2,
Pahang,2022,Male,0-4,Bumi (Malay),53,
Pahang,2022,Male,0-4,Bumi (Other),4,
Pahang,2022,Male,0-4,Chinese,5,
Pahang,2022,Male,0-4,Indian,1,
Pahang,2022,Male,0-4,Other (Citizen),0,
Pahang,2022,Male,0-4,Other (Non-Citizen),0,
Pahang,2022,Male,15-19,Bumi (Malay),63,
Pahang,2022,Male,15-19,Bumi (Other),5,
Pahang,2022,Male,15-19,Chinese,15,
Pahang,2022,Male,15-19,Indian,4,
Pahang,2022,Male,15-19,Other (Citizen),0,
Pahang,2022,Male,15-19,Other (Non-Citizen),0,
Pahang,2022,Male,20-24,Bumi (Malay),49,
Pahang,2022,Male,20-24,Bumi (Other),5,
Pahang,2022,Male,20-24,Chinese,8,
Pahang,2022,Male,20-24,Indian,3,
Pahang,2022,Male,20-24,Other (Citizen),0,
Pahang,2022,Male,20-24,Other (Non-Citizen),6,
Pahang,2022,Male,25-29,Bumi (Malay),40,
Pahang,2022,Male,25-29,Bumi (Other),5,
Pahang,2022,Male,25-29,Chinese,7,
Pahang,2022,Male,25-29,Indian,2,
Pahang,2022,Male,25-29,Other (Citizen),1,
Pahang,2022,Male,25-29,Other (Non-Citizen),15,
Pahang,2022,Male,30-34,Bumi (Malay),43,
Pahang,2022,Male,30-34,Bumi (Other),4,
Pahang,2022,Male,30-34,Chinese,7,
Pahang,2022,Male,30-34,Indian,2,
Pahang,2022,Male,30-34,Other (Citizen),1,
Pahang,2022,Male,30-34,Other (Non-Citizen),16,
Pahang,2022,Male,35-39,Bumi (Malay),47,
Pahang,2022,Male,35-39,Bumi (Other),4,
Pahang,2022,Male,35-39,Chinese,8,
Pahang,2022,Male,35-39,Indian,2,
Pahang,2022,Male,35-39,Other (Citizen),1,
Pahang,2022,Male,35-39,Other (Non-Citizen),13,
Pahang,2022,Male,40-44,Bumi (Malay),46,
Pahang,2022,Male,40-44,Bumi (Other),3,
Pahang,2022,Male,40-44,Chinese,10,
Pahang,2022,Male,40-44,Indian,2,
Pahang,2022,Male,40-44,Other (Citizen),1,
Pahang,2022,Male,40-44,Other (Non-Citizen),8,
Pahang,2022,Male,45-49,Bumi (Malay),32,
Pahang,2022,Male,45-49,Bumi (Other),2,
Pahang,2022,Male,45-49,Chinese,8,
Pahang,2022,Male,45-49,Indian,2,
Pahang,2022,Male,45-49,Other (Citizen),0,
Pahang,2022,Male,45-49,Other (Non-Citizen),4,
Pahang,2022,Male,50-54,Bumi (Malay),26,
Pahang,2022,Male,50-54,Bumi (Other),2,
Pahang,2022,Male,50-54,Chinese,7,
Pahang,2022,Male,50-54,Indian,2,
Pahang,2022,Male,50-54,Other (Citizen),0,
Pahang,2022,Male,50-54,Other (Non-Citizen),2,
Pahang,2022,Male,55-59,Bumi (Malay),22,
Pahang,2022,Male,55-59,Bumi (Other),1,
Pahang,2022,Male,55-59,Chinese,6,
Pahang,2022,Male,55-59,Indian,1,
Pahang,2022,Male,55-59,Other (Citizen),0,
Pahang,2022,Male,55-59,Other (Non-Citizen),1,
Pahang,2022,Male,60-64,Bumi (Malay),20,
Pahang,2022,Male,60-64,Bumi (Other),1,
Pahang,2022,Male,60-64,Chinese,6,
Pahang,2022,Male,60-64,Indian,1,
Pahang,2022,Male,60-64,Other (Citizen),0,
Pahang,2022,Male,60-64,Other (Non-Citizen),0,
Terengganu,2022,Female,85 and above,Bumi (Malay),2,
Kuala Lumpur,2022,Female,85 and above,Bumi (Malay),2,
Johor,2022,Male,75-79,Other (Non-Citizen),2,
Negeri Sembilan,2022,Female,80-84,Bumi (Malay),2,
Negeri Sembilan,2022,Female,80-84,Chinese,2,
Negeri Sembilan,2022,Male,70-74,Indian,2,
Perak,2022,Male,75-79,Indian,2,
